epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,149108,1.71668,1.61954,2.07631,0.77934,0.89189,0.83961,0.40664,1.84001,1.54878,2.39948,0.0008912,0.0008912,0.0008912
114,149361,1.66562,1.58747,2.12092,0.76401,0.83784,0.84059,0.42334,1.77317,1.48798,2.32772,0.0008813,0.0008813,0.0008813
115,149612,1.79406,1.83141,2.35232,0.76401,0.83784,0.84059,0.42334,1.77317,1.48798,2.32772,0.0008714,0.0008714,0.0008714
116,149862,1.69924,1.52361,2.06625,0.80274,0.88007,0.84069,0.46044,1.69412,1.41776,2.27307,0.0008615,0.0008615,0.0008615
117,150110,1.75816,1.64535,2.11929,0.80274,0.88007,0.84069,0.46044,1.69412,1.41776,2.27307,0.0008516,0.0008516,0.0008516
118,150363,1.81691,1.58246,2.2311,0.83357,0.81223,0.84358,0.43357,1.75489,1.52354,2.31928,0.0008417,0.0008417,0.0008417
119,150620,1.74277,1.71231,2.27451,0.79567,0.84205,0.85226,0.42956,1.77616,1.5205,2.34651,0.0008318,0.0008318,0.0008318
120,150874,1.65682,1.48128,2.0332,0.79567,0.84205,0.85226,0.42956,1.77616,1.5205,2.34651,0.0008219,0.0008219,0.0008219
121,151139,1.52466,1.33318,1.96362,0.86447,0.81081,0.8642,0.40399,1.8652,1.45318,2.42171,0.000812,0.000812,0.000812
122,151388,1.55768,1.42014,1.94563,0.86221,0.89189,0.88162,0.37022,1.98455,1.44938,2.52113,0.0008021,0.0008021,0.0008021
123,151642,1.63949,1.71634,2.0986,0.86221,0.89189,0.88162,0.37022,1.98455,1.44938,2.52113,0.0007922,0.0007922,0.0007922
124,151901,1.6433,1.73273,2.07321,0.83849,0.84194,0.87894,0.36049,2.02664,1.50611,2.5685,0.0007823,0.0007823,0.0007823
125,152145,1.66836,1.59082,2.20553,0.79616,0.84463,0.86589,0.34888,2.02641,1.56816,2.57517,0.0007724,0.0007724,0.0007724
126,152394,1.60179,1.45695,2.0325,0.79616,0.84463,0.86589,0.34888,2.02641,1.56816,2.57517,0.0007625,0.0007625,0.0007625
127,152637,1.66443,1.6612,2.11487,0.90399,0.78378,0.84821,0.37879,1.95504,1.60024,2.51894,0.0007526,0.0007526,0.0007526
128,152878,1.71352,1.79804,2.18476,0.90399,0.78378,0.84821,0.37879,1.95504,1.60024,2.51894,0.0007427,0.0007427,0.0007427
129,153125,1.76189,1.63002,2.07964,0.81273,0.86486,0.83812,0.42929,1.81556,1.62043,2.395,0.0007328,0.0007328,0.0007328
